member_casual,day_of_week,ride_length
casual,Friday,18.372203215692714
casual,Monday,18.99561074184562
casual,Saturday,21.11137344837784
casual,Sunday,21.819220447250853
casual,Thursday,16.451682228454583
casual,Tuesday,16.447891717759564
casual,Wednesday,15.63389916357376
member,Friday,11.962222131902642
member,Monday,11.802872172485232
member,Saturday,13.161189990853456
member,Sunday,13.223900763193852
member,Thursday,11.605277844026755
member,Tuesday,11.628537246588925
member,Wednesday,11.554691623195966
